approved,loan_amount,income,debt_to_income_ratio,loan_to_value_ratio,loan_purpose,applicant_race-1,applicant_sex,applicant_age,property_value,occupancy_type
1,375000.0,111.0,43,80.0,1,5.0,1,35-44,465000,1
1,285000.0,58.0,48,79.15,1,5.0,1,35-44,365000,1
0,85000.0,51.0,40,42.5,32,5.0,2,45-54,205000,1
0,375000.0,50.0,>60%,,1,5.0,1,35-44,365000,1
1,305000.0,125.0,20%-<30%,97.0,1,5.0,1,25-34,315000,1
0,115000.0,216.0,30%-<36%,79.78,4,5.0,1,25-34,655000,1
1,335000.0,76.0,42,95.0,1,5.0,1,35-44,355000,1
1,315000.0,81.0,50%-60%,96.5,1,6.0,3,<25,325000,1
0,175000.0,52.0,49,43.0,31,5.0,1,65-74,405000,1
0,255000.0,91.0,43,75.925,32,5.0,2,25-34,345000,1
1,375000.0,99.0,36,100.0,1,5.0,1,35-44,375000,1
1,905000.0,180.0,43,80.0,1,5.0,1,45-54,1135000,2
0,215000.0,66.0,42,72.203,32,6.0,1,35-44,295000,1
1,525000.0,140.0,44,80.0,1,2.0,2,55-64,665000,1
0,25000.0,46.0,>60%,19.29,4,5.0,1,65-74,125000,1
1,365000.0,123.0,20%-<30%,80.0,1,3.0,2,35-44,455000,1
1,175000.0,74.0,50%-60%,44.758,32,5.0,2,65-74,385000,1
1,485000.0,173.0,36,79.09,31,5.0,2,25-34,615000,1
1,425000.0,125.0,43,77.0,32,5.0,1,35-44,555000,1
1,255000.0,235.0,43,75.0,1,6.0,2,35-44,335000,3
0,165000.0,15.0,>60%,,1,5.0,2,65-74,175000,1
0,155000.0,51.0,30%-<36%,59.696,32,3.0,1,45-54,265000,1
1,275000.0,79.0,50%-60%,96.5,1,3.0,2,45-54,275000,1
1,1365000.0,490.0,30%-<36%,,1,21.0,1,35-44,1605000,1
0,125000.0,38.0,36,45.872,32,6.0,3,65-74,275000,1
0,755000.0,255.0,37,80.0,1,2.0,2,35-44,945000,1
1,265000.0,62.0,50%-60%,96.5,1,5.0,2,25-34,275000,1
1,215000.0,54.0,41,60.0,1,5.0,2,35-44,365000,1
1,515000.0,156.0,42,95.0,1,5.0,1,25-34,545000,1
0,35000.0,58.0,50%-60%,77.585,4,5.0,2,55-64,125000,1
0,205000.0,21.0,>60%,60.29,32,5.0,1,45-54,345000,1
1,205000.0,187.0,38,75.0,1,6.0,2,45-54,275000,3
1,235000.0,99.0,20%-<30%,74.0,31,5.0,1,25-34,325000,1
1,135000.0,127.0,30%-<36%,70.27,31,5.0,1,45-54,185000,2
1,165000.0,36.0,39,96.397,1,5.0,2,55-64,175000,1
1,115000.0,43.0,50%-60%,44.0,32,5.0,1,65-74,255000,1
1,145000.0,39.0,45,80.0,1,2.0,1,35-44,185000,1
1,645000.0,237.0,43,33.19,1,2.0,1,45-54,1955000,1
1,275000.0,87.0,41,50.239,32,5.0,2,55-64,545000,1
1,425000.0,246.0,20%-<30%,68.071,1,5.0,1,25-34,615000,1
0,95000.0,72.0,<20%,45.0,1,5.0,1,55-64,205000,1
0,25000.0,210.0,20%-<30%,71.489,2,5.0,1,25-34,375000,1
1,255000.0,107.0,36,67.725,32,6.0,2,35-44,375000,1
1,245000.0,139.0,40,65.53,32,5.0,1,35-44,375000,1
1,325000.0,126.0,30%-<36%,100.0,1,5.0,1,45-54,325000,1
1,365000.0,101.0,36,96.5,1,5.0,2,45-54,375000,1
1,455000.0,140.0,50%-60%,86.832,1,5.0,1,45-54,525000,1
1,265000.0,89.0,36,58.333,32,6.0,3,45-54,455000,3
1,135000.0,54.0,47,58.559,32,6.0,2,55-64,225000,3
1,245000.0,345.0,39,75.0,1,2.0,1,35-44,335000,3
1,575000.0,185.0,38,90.0,1,5.0,1,45-54,635000,1
1,195000.0,49.0,49,74.651,32,5.0,2,65-74,265000,1
1,365000.0,209.0,36,80.0,1,6.0,1,35-44,455000,1
1,645000.0,453.0,20%-<30%,77.048,1,5.0,1,45-54,845000,1
1,255000.0,56.0,39,85.0,1,3.0,1,35-44,305000,1
1,2065000.0,605.0,20%-<30%,75.0,1,5.0,1,25-34,2725000,1
1,355000.0,118.0,37,95.0,1,5.0,1,25-34,375000,1
1,325000.0,110.0,41,80.0,1,5.0,2,55-64,405000,1
1,205000.0,96.0,41,79.0,32,2.0,1,45-54,255000,1
1,645000.0,225.0,20%-<30%,91.647,1,2.0,1,35-44,705000,1
1,275000.0,166.0,37,51.11,1,6.0,3,45-54,535000,1
1,175000.0,67.0,30%-<36%,99.445,1,6.0,2,35-44,185000,1
1,135000.0,131.0,20%-<30%,80.0,32,6.0,1,45-54,175000,1
0,345000.0,111.0,Exempt,Exempt,1,5.0,1,25-34,Exempt,1
0,205000.0,89.0,43,51.78,32,6.0,1,25-34,405000,1
